Year,Wanderungsherkunft,Units,Value
2009,Ukraine,Anzahl,681.0
2009,Ungarn,Anzahl,2688.0
2009,EU Staaten,Anzahl,46797.0
2009,Afrika insgesamt,Anzahl,1732.0
2009,Amerika insgesamt,Anzahl,4205.0
2009,Kolumbien,Anzahl,123.0
2009,Asien insgesamt,Anzahl,9945.0
2009,Afghanistan,Anzahl,287.0
2009,Georgien,Anzahl,265.0
2009,Indien,Anzahl,547.0
2009,Irak,Anzahl,2830.0
2009,Iran,Anzahl,371.0
2009,Kasachstan,Anzahl,1023.0
2009,"Syrien, Arabische Republik",Anzahl,333.0
2009,Australien und Ozeanien,Anzahl,398.0
2009,Sonstige Ziele,Anzahl,3193.0
2009,ohne Angabe,Anzahl,51.0
2009,Insgesamt,Anzahl,73925.0
2010,Europa insgesamt,Anzahl,58101.0
2010,Albanien,Anzahl,38.0
2010,Bulgarien,Anzahl,3287.0
2010,Italien,Anzahl,1613.0
2010,"Moldau, Republik",Anzahl,85.0
2010,Polen,Anzahl,22942.0
2010,Rumänien,Anzahl,8083.0
2010,Russische Föderation,Anzahl,2812.0
2010,Spanien,Anzahl,1601.0
2010,Türkei,Anzahl,1611.0
2010,Ukraine,Anzahl,613.0
2010,Ungarn,Anzahl,2437.0
2010,EU Staaten,Anzahl,49675.0
2010,Afrika insgesamt,Anzahl,1857.0
2010,Amerika insgesamt,Anzahl,4089.0
2010,Kolumbien,Anzahl,171.0
2010,Asien insgesamt,Anzahl,9405.0
2010,Afghanistan,Anzahl,567.0
2010,Georgien,Anzahl,357.0
2010,Indien,Anzahl,803.0
2010,Irak,Anzahl,1408.0
2010,Iran,Anzahl,563.0
2010,Kasachstan,Anzahl,656.0
2010,"Syrien, Arabische Republik",Anzahl,431.0
2010,Australien und Ozeanien,Anzahl,427.0
2010,Sonstige Ziele,Anzahl,2904.0
2010,ohne Angabe,Anzahl,68.0
2010,Insgesamt,Anzahl,76783.0
2011,Europa insgesamt,Anzahl,71848.0
2011,Albanien,Anzahl,64.0
2011,Bulgarien,Anzahl,3820.0
2011,Italien,Anzahl,1636.0
2011,"Moldau, Republik",Anzahl,77.0
2011,Polen,Anzahl,28900.0
2011,Rumänien,Anzahl,11492.0
2011,Russische Föderation,Anzahl,2605.0
2011,Spanien,Anzahl,1772.0
2011,Türkei,Anzahl,1768.0
2011,Ukraine,Anzahl,597.0
2011,Ungarn,Anzahl,3229.0
2011,EU Staaten,Anzahl,63559.0
2011,Afrika insgesamt,Anzahl,2097.0
2011,Amerika insgesamt,Anzahl,4583.0
2011,Kolumbien,Anzahl,206.0
2011,Asien insgesamt,Anzahl,9518.0
2011,Afghanistan,Anzahl,614.0
2011,Georgien,Anzahl,261.0
2011,Indien,Anzahl,827.0
2011,Irak,Anzahl,780.0
2011,Iran,Anzahl,717.0
2011,Kasachstan,Anzahl,703.0
2011,"Syrien, Arabische Republik",Anzahl,706.0
2011,Australien und Ozeanien,Anzahl,536.0
2011,Sonstige Ziele,Anzahl,2925.0
2011,ohne Angabe,Anzahl,62.0
2011,Insgesamt,Anzahl,91507.0
2012,Europa insgesamt,Anzahl,79539.0
2012,Albanien,Anzahl,171.0
2012,Bulgarien,Anzahl,4127.0
2012,Italien,Anzahl,2218.0
2012,"Moldau, Republik",Anzahl,119.0
2012,Polen,Anzahl,31256.0
2012,Rumänien,Anzahl,12321.0
2012,Russische Föderation,Anzahl,2573.0
2012,Spanien,Anzahl,2383.0
2012,Türkei,Anzahl,1603.0
2012,Ukraine,Anzahl,621.0
2012,Ungarn,Anzahl,3937.0
2012,EU Staaten,Anzahl,69878.0
2012,Afrika insgesamt,Anzahl,2456.0
2012,Amerika insgesamt,Anzahl,4336.0
2012,Kolumbien,Anzahl,251.0
2012,Asien insgesamt,Anzahl,9868.0
2012,Afghanistan,Anzahl,523.0
2012,Georgien,Anzahl,435.0
2012,Indien,Anzahl,883.0
2012,Irak,Anzahl,559.0
2012,Iran,Anzahl,827.0
2012,Kasachstan,Anzahl,571.0
2012,"Syrien, Arabische Republik",Anzahl,976.0
2012,Australien und Ozeanien,Anzahl,477.0
2012,Sonstige Ziele,Anzahl,2325.0
2012,ohne Angabe,Anzahl,68.0
2012,Insgesamt,Anzahl,99001.0
2013,Europa insgesamt,Anzahl,87619.0
2013,Albanien,Anzahl,420.0
2013,Bulgarien,Anzahl,4341.0
2013,Italien,Anzahl,3029.0
2013,"Moldau, Republik",Anzahl,155.0
2013,Polen,Anzahl,32617.0
2013,Rumänien,Anzahl,12979.0
2013,Russische Föderation,Anzahl,4019.0
2013,Spanien,Anzahl,3217.0
2013,Türkei,Anzahl,1477.0
2013,Ukraine,Anzahl,714.0
2013,Ungarn,Anzahl,4419.0
2013,EU Staaten,Anzahl,75109.0
2013,Afrika insgesamt,Anzahl,4218.0
2013,Amerika insgesamt,Anzahl,4060.0
2013,Kolumbien,Anzahl,230.0
2013,Asien insgesamt,Anzahl,12555.0
2013,Afghanistan,Anzahl,564.0
2013,Georgien,Anzahl,470.0
2013,Indien,Anzahl,852.0
2013,Irak,Anzahl,607.0
2013,Iran,Anzahl,994.0
2013,Kasachstan,Anzahl,930.0
2013,"Syrien, Arabische Republik",Anzahl,2508.0
2013,Australien und Ozeanien,Anzahl,513.0
2013,Sonstige Ziele,Anzahl,1956.0
2013,ohne Angabe,Anzahl,38.0
2013,Insgesamt,Anzahl,110921.0
2014,Europa insgesamt,Anzahl,103904.0
2014,Albanien,Anzahl,2013.0
2014,Bulgarien,Anzahl,6841.0
2014,Italien,Anzahl,3855.0
2014,"Moldau, Republik",Anzahl,400.0
2014,Polen,Anzahl,33028.0
2014,Rumänien,Anzahl,19064.0
2014,Russische Föderation,Anzahl,4215.0
2014,Spanien,Anzahl,2671.0
2014,Türkei,Anzahl,1926.0
2014,Ukraine,Anzahl,1286.0
2014,Ungarn,Anzahl,3991.0
2014,EU Staaten,Anzahl,84129.0
2014,Afrika insgesamt,Anzahl,6032.0
2014,Amerika insgesamt,Anzahl,4469.0
2014,Kolumbien,Anzahl,193.0
2014,Asien insgesamt,Anzahl,22401.0
2014,Afghanistan,Anzahl,795.0
2014,Georgien,Anzahl,630.0
2014,Indien,Anzahl,968.0
2014,Irak,Anzahl,1197.0
2014,Iran,Anzahl,671.0
2014,Kasachstan,Anzahl,2246.0
2014,"Syrien, Arabische Republik",Anzahl,9245.0
2014,Australien und Ozeanien,Anzahl,500.0
2014,Sonstige Ziele,Anzahl,1875.0
2014,ohne Angabe,Anzahl,61.0
2014,Insgesamt,Anzahl,139181.0
2015,Europa insgesamt,Anzahl,118056.0
2015,Albanien,Anzahl,5502.0
2015,Bulgarien,Anzahl,7793.0
2015,Italien,Anzahl,3885.0
2015,"Moldau, Republik",Anzahl,653.0
2015,Polen,Anzahl,32001.0
2015,Rumänien,Anzahl,21612.0
2015,Russische Föderation,Anzahl,4467.0
2015,Spanien,Anzahl,2452.0
2015,Türkei,Anzahl,2884.0
2015,Ukraine,Anzahl,1595.0
2015,Ungarn,Anzahl,3797.0
2015,EU Staaten,Anzahl,87118.0
2015,Afrika insgesamt,Anzahl,12926.0
2015,Amerika insgesamt,Anzahl,4489.0
2015,Kolumbien,Anzahl,217.0
2015,Asien insgesamt,Anzahl,67279.0
2015,Afghanistan,Anzahl,8320.0
2015,Georgien,Anzahl,892.0
2015,Indien,Anzahl,1019.0
2015,Irak,Anzahl,10845.0
2015,Iran,Anzahl,2017.0
2015,Kasachstan,Anzahl,2121.0
2015,"Syrien, Arabische Republik",Anzahl,32777.0
2015,Australien und Ozeanien,Anzahl,514.0
2015,Sonstige Ziele,Anzahl,3386.0
2015,ohne Angabe,Anzahl,1044.0
2015,Insgesamt,Anzahl,206650.0
2016,Europa insgesamt,Anzahl,101930.0
2016,Albanien,Anzahl,1057.0
2016,Bulgarien,Anzahl,7389.0
2016,Italien,Anzahl,3587.0
2016,"Moldau, Republik",Anzahl,1014.0
2016,Polen,Anzahl,26551.0
2016,Rumänien,Anzahl,25217.0
2016,Russische Föderation,Anzahl,4850.0
2016,Spanien,Anzahl,2063.0
2016,Türkei,Anzahl,3320.0
2016,Ukraine,Anzahl,1663.0
2016,Ungarn,Anzahl,3343.0
2016,EU Staaten,Anzahl,83386.0
2016,Afrika insgesamt,Anzahl,8746.0
2016,Amerika insgesamt,Anzahl,4793.0
2016,Kolumbien,Anzahl,302.0
2016,Asien insgesamt,Anzahl,49106.0
2016,Afghanistan,Anzahl,7416.0
2016,Georgien,Anzahl,546.0
2016,Indien,Anzahl,1197.0
2016,Irak,Anzahl,12033.0
2016,Iran,Anzahl,2288.0
2016,Kasachstan,Anzahl,2508.0
2016,"Syrien, Arabische Republik",Anzahl,15199.0
2016,Australien und Ozeanien,Anzahl,522.0
2016,Sonstige Ziele,Anzahl,10104.0
2016,ohne Angabe,Anzahl,3730.0
2016,Insgesamt,Anzahl,175201.0
2017,Europa insgesamt,Anzahl,102960.0
2017,Albanien,Anzahl,1003.0
2017,Bulgarien,Anzahl,7520.0
2017,Italien,Anzahl,3544.0
2017,"Moldau, Republik",Anzahl,1414.0
2017,Polen,Anzahl,23965.0
2017,Rumänien,Anzahl,27631.0
2017,Russische Föderation,Anzahl,4313.0
2017,Spanien,Anzahl,1774.0
2017,Türkei,Anzahl,5772.0
2017,Ukraine,Anzahl,2007.0
2017,Ungarn,Anzahl,3205.0
2017,EU Staaten,Anzahl,81800.0
2017,Afrika insgesamt,Anzahl,4635.0
2017,Amerika insgesamt,Anzahl,4731.0
2017,Kolumbien,Anzahl,234.0
2017,Asien insgesamt,Anzahl,21467.0
2017,Afghanistan,Anzahl,503.0
2017,Georgien,Anzahl,542.0
2017,Indien,Anzahl,1423.0
2017,Irak,Anzahl,4020.0
2017,Iran,Anzahl,886.0
2017,Kasachstan,Anzahl,2779.0
2017,"Syrien, Arabische Republik",Anzahl,4423.0
2017,Australien und Ozeanien,Anzahl,562.0
2017,Sonstige Ziele,Anzahl,11546.0
2017,ohne Angabe,Anzahl,6182.0
2017,Insgesamt,Anzahl,145901.0
2018,Europa insgesamt,Anzahl,107646.0
2018,Albanien,Anzahl,1106.0
2018,Bulgarien,Anzahl,8284.0
2018,Italien,Anzahl,3479.0
2018,"Moldau, Republik",Anzahl,1971.0
2018,Polen,Anzahl,22557.0
2018,Rumänien,Anzahl,31587.0
2018,Russische Föderation,Anzahl,4834.0
2018,Spanien,Anzahl,1893.0
2018,Türkei,Anzahl,5392.0
2018,Ukraine,Anzahl,2116.0
2018,Ungarn,Anzahl,2759.0
2018,EU Staaten,Anzahl,85506.0
2018,Afrika insgesamt,Anzahl,5511.0
2018,Amerika insgesamt,Anzahl,5030.0
2018,Kolumbien,Anzahl,378.0
2018,Asien insgesamt,Anzahl,19633.0
2018,Afghanistan,Anzahl,465.0
2018,Georgien,Anzahl,642.0
2018,Indien,Anzahl,1602.0
2018,Irak,Anzahl,2505.0
2018,Iran,Anzahl,1515.0
2018,Kasachstan,Anzahl,2452.0
2018,"Syrien, Arabische Republik",Anzahl,3244.0
2018,Australien und Ozeanien,Anzahl,574.0
2018,Sonstige Ziele,Anzahl,15978.0
2018,ohne Angabe,Anzahl,12174.0
2018,Insgesamt,Anzahl,154372.0
2019,Europa insgesamt,Anzahl,103708.0
2019,Albanien,Anzahl,1245.0
2019,Bulgarien,Anzahl,8333.0
2019,Italien,Anzahl,3649.0
2019,"Moldau, Republik",Anzahl,2512.0
2019,Polen,Anzahl,20079.0
2019,Rumänien,Anzahl,29751.0
2019,Russische Föderation,Anzahl,4859.0
2019,Spanien,Anzahl,1877.0
2019,Türkei,Anzahl,5397.0
2019,Ukraine,Anzahl,2224.0
2019,Ungarn,Anzahl,2139.0
2019,EU Staaten,Anzahl,80673.0
2019,Afrika insgesamt,Anzahl,6518.0
2019,Amerika insgesamt,Anzahl,5423.0
2019,Kolumbien,Anzahl,757.0
2019,Asien insgesamt,Anzahl,19290.0
2019,Afghanistan,Anzahl,395.0
2019,Georgien,Anzahl,571.0
2019,Indien,Anzahl,1920.0
2019,Irak,Anzahl,1490.0
2019,Iran,Anzahl,1161.0
2019,Kasachstan,Anzahl,2706.0
2019,"Syrien, Arabische Republik",Anzahl,2664.0
2019,Australien und Ozeanien,Anzahl,547.0
2019,Sonstige Ziele,Anzahl,15663.0
2019,ohne Angabe,Anzahl,12914.0
2019,Insgesamt,Anzahl,151149.0
2020,Europa insgesamt,Anzahl,81166.0
2020,Albanien,Anzahl,1059.0
2020,Bulgarien,Anzahl,7792.0
2020,Italien,Anzahl,2571.0
2020,"Moldau, Republik",Anzahl,1998.0
2020,Polen,Anzahl,15041.0
2020,Rumänien,Anzahl,24576.0
2020,Russische Föderation,Anzahl,2801.0
2020,Spanien,Anzahl,1598.0
2020,Türkei,Anzahl,3158.0
2020,Ukraine,Anzahl,1454.0
2020,Ungarn,Anzahl,1975.0
2020,EU Staaten,Anzahl,65686.0
2020,Afrika insgesamt,Anzahl,3886.0
2020,Amerika insgesamt,Anzahl,3326.0
2020,Kolumbien,Anzahl,430.0
2020,Asien insgesamt,Anzahl,13009.0
2020,Afghanistan,Anzahl,745.0
2020,Georgien,Anzahl,449.0
2020,Indien,Anzahl,980.0
2020,Irak,Anzahl,1261.0
2020,Iran,Anzahl,633.0
2020,Kasachstan,Anzahl,1783.0
2020,"Syrien, Arabische Republik",Anzahl,2407.0
2020,Australien und Ozeanien,Anzahl,404.0
2020,Sonstige Ziele,Anzahl,11485.0
2020,ohne Angabe,Anzahl,10659.0
2020,Insgesamt,Anzahl,113276.0
2021,Europa insgesamt,Anzahl,84342.0
2021,Albanien,Anzahl,1288.0
2021,Bulgarien,Anzahl,7876.0
2021,Italien,Anzahl,2189.0
2021,"Moldau, Republik",Anzahl,2414.0
2021,Polen,Anzahl,14361.0
2021,Rumänien,Anzahl,24097.0
2021,Russische Föderation,Anzahl,4363.0
2021,Spanien,Anzahl,1971.0
2021,Türkei,Anzahl,4067.0
2021,Ukraine,Anzahl,1643.0
2021,Ungarn,Anzahl,1694.0
2021,EU Staaten,Anzahl,63439.0
2021,Afrika insgesamt,Anzahl,5099.0
2021,Amerika insgesamt,Anzahl,3875.0
2021,Kolumbien,Anzahl,619.0
2021,Asien insgesamt,Anzahl,23132.0
2021,Afghanistan,Anzahl,2520.0
2021,Georgien,Anzahl,1042.0
2021,Indien,Anzahl,1577.0
2021,Irak,Anzahl,2342.0
2021,Iran,Anzahl,1093.0
2021,Kasachstan,Anzahl,2770.0
2021,"Syrien, Arabische Republik",Anzahl,5003.0
2021,Australien und Ozeanien,Anzahl,245.0
2021,Sonstige Ziele,Anzahl,11384.0
2021,ohne Angabe,Anzahl,10407.0
2021,Insgesamt,Anzahl,128077.0
2022,Europa insgesamt,Anzahl,206343.0
2022,Albanien,Anzahl,1701.0
2022,Bulgarien,Anzahl,7538.0
2022,Italien,Anzahl,2299.0
2022,"Moldau, Republik",Anzahl,3087.0
2022,Polen,Anzahl,14423.0
2022,Rumänien,Anzahl,24039.0
2022,Russische Föderation,Anzahl,5080.0
2022,Spanien,Anzahl,1971.0
2022,Türkei,Anzahl,6647.0
2022,Ukraine,Anzahl,119352.0
2022,Ungarn,Anzahl,1787.0
2022,EU Staaten,Anzahl,62858.0
2022,Afrika insgesamt,Anzahl,7049.0
2022,Amerika insgesamt,Anzahl,6018.0
2022,Kolumbien,Anzahl,2018.0
2022,Asien insgesamt,Anzahl,30147.0
2022,Afghanistan,Anzahl,5133.0
2022,Georgien,Anzahl,1961.0
2022,Indien,Anzahl,2207.0
2022,Irak,Anzahl,1785.0
2022,Iran,Anzahl,1838.0
2022,Kasachstan,Anzahl,2605.0
2022,"Syrien, Arabische Republik",Anzahl,6344.0
2022,Australien und Ozeanien,Anzahl,316.0
2022,Sonstige Ziele,Anzahl,10878.0
2022,ohne Angabe,Anzahl,9834.0
2022,Insgesamt,Anzahl,260751.0
