Year,Migrationsstatus,Bildungsstand,Geschlecht,Units,Value
2021,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,1000,79.0
2021,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,männlich,1000,46.0
2021,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,1000,34.0
2021,ohne Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,1000,41.0
2021,ohne Migrationshintergrund,Frühe Schulabgänger/innen,männlich,1000,23.0
2021,ohne Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,1000,18.0
2021,mit Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,1000,38.0
2021,mit Migrationshintergrund,Frühe Schulabgänger/innen,männlich,1000,23.0
2021,mit Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,1000,15.0
2022,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,1000,821.0
2022,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,1000,410.0
2022,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,1000,411.0
2022,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,1000,420.0
2022,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,1000,199.0
2022,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,1000,221.0
2022,mit Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,1000,401.0
2022,mit Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,1000,211.0
2022,mit Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,1000,190.0
2021,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,1000,815.0
2021,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,1000,404.0
2021,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,1000,411.0
2021,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,1000,422.0
2021,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,1000,197.0
2021,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,1000,225.0
2021,mit Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,1000,392.0
2021,mit Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,1000,207.0
2021,mit Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,1000,186.0
2022,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,%,13.0
2022,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,männlich,%,14.4
2022,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,%,11.6
2022,ohne Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,%,9.5
2022,ohne Migrationshintergrund,Frühe Schulabgänger/innen,männlich,%,9.7
2022,ohne Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,%,9.2
2022,mit Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,%,21.2
2022,mit Migrationshintergrund,Frühe Schulabgänger/innen,männlich,%,24.7
2022,mit Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,%,17.4
2021,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,%,12.8
2021,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,männlich,%,14.4
2021,mit und ohne Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,%,11.2
2021,ohne Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,%,9.4
2021,ohne Migrationshintergrund,Frühe Schulabgänger/innen,männlich,%,10.5
2021,ohne Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,%,8.4
2021,mit Migrationshintergrund,Frühe Schulabgänger/innen,Insgesamt,%,20.9
2021,mit Migrationshintergrund,Frühe Schulabgänger/innen,männlich,%,22.8
2021,mit Migrationshintergrund,Frühe Schulabgänger/innen,weiblich,%,18.5
2022,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,%,19.2
2022,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,%,19.1
2022,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,%,19.2
2022,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,%,13.1
2022,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,%,12.5
2022,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,%,13.8
2022,mit Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,%,37.0
2022,mit Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,%,38.4
2022,mit Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,%,35.6
2021,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,%,19.2
2021,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,%,18.9
2021,mit und ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,%,19.4
2021,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,%,13.1
2021,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,%,12.3
2021,ohne Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,%,14.0
2021,mit Migrationshintergrund,Personen mit geringem Bildungsstand,Insgesamt,%,37.8
2021,mit Migrationshintergrund,Personen mit geringem Bildungsstand,männlich,%,38.7
2021,mit Migrationshintergrund,Personen mit geringem Bildungsstand,weiblich,%,36.8
