Year,Migrationsstatus,Altersgruppe,Bildungsstand,Geschlecht,Units,Value
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,213.72658
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,211.439363
2022,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,172.930131
2022,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,90.297312
2022,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,82.632819
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,592.189175
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,302.430572
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,289.758603
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,424.585709
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,211.810814
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,212.774895
2021,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,167.603466
2021,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,90.619758
2021,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,76.983708
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,4210.841841
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,2117.411216
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,2093.430625
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,3052.163301
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,1529.452985
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,1522.710316
2025,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,1158.67854
2025,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,587.958231
2025,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,570.720309
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,4225.459291
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,2122.730473
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,2102.728818
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,3079.579676
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,1546.987025
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,1532.592651
2024,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,1145.879615
2024,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,575.743448
2024,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,570.136167
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,4226.963471
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,2120.538617
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,2106.424854
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,3161.258698
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,1579.784566
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,1581.474132
2023,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,1065.704773
2023,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,540.754051
2023,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,524.950722
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,4208.886513
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,2111.84733
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,2097.039183
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,3175.529863
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,1584.246046
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,1591.283817
2022,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,1033.35665
2022,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,527.601284
2022,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,505.755366
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,4181.315487
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,2107.382208
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,2073.933279
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,3197.687524
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,1599.26335
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,1598.424174
2021,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,983.627963
2021,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,508.118858
2021,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,475.509105
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,75.550521
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,44.498083
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,31.052438
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,32.134947
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,17.232511
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,14.902436
2025,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,43.415574
2025,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,27.265572
2025,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,16.150002
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,85.762679
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,53.365881
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,32.396798
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,39.997793
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,24.143862
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,15.853931
2024,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,45.764886
2024,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,29.222019
2024,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,16.542867
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,85.119185
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,51.275934
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,33.843251
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,41.652287
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,22.880966
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,18.771321
2023,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,43.466898
2023,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,28.394968
2023,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,15.07193
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,78.577334
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,44.418998
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,34.158336
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,41.260735
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,21.353016
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,19.907719
2022,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,37.316599
2022,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,23.065982
2022,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,14.250617
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,73.3545
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,42.042909
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,31.311591
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,39.82122
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,22.064233
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,17.756987
2021,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,1000,33.53328
2021,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,1000,19.978676
2021,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,1000,13.554604
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,650.872341
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,335.085768
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,315.786573
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,259.214515
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,123.36502
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,135.849495
2025,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,391.657826
2025,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,211.720748
2025,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,179.937078
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,765.132329
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,382.690061
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,382.442268
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,352.887832
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,167.286749
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,185.601083
2024,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,412.244497
2024,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,215.403312
2024,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,196.841185
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,780.830779
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,386.351187
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,394.479592
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,389.62147
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,183.025808
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,206.595662
2023,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,391.209309
2023,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,203.325379
2023,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,187.88393
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,795.090918
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,396.750519
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,398.340399
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,419.421604
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,198.223061
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,221.198543
2022,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,375.669314
2022,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,198.527458
2022,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,177.141856
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,785.199372
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,390.46539
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,394.733982
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,420.411523
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,196.721886
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,223.689637
2021,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,1000,364.787849
2021,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1000,193.743504
2021,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1000,171.044345
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,13.407071
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,15.262189
2025,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,11.418234
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,8.89875
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,9.386283
2025,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,8.394554
2025,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,21.450918
2025,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,%,25.254041
2025,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,17.10266
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,14.754147
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,17.839339
2024,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,11.482881
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,10.468677
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,12.535735
2024,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,8.367478
2024,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,22.973493
2024,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,%,27.426437
2024,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,17.853214
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,14.336001
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,17.019312
2023,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,11.57179
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,10.284945
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,11.263555
2023,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,9.300033
2023,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,23.02745
2023,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,%,28.933337
2023,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,16.631655
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,13.137912
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,14.610364
2022,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,11.61563
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,9.704619
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,9.99081
2022,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,9.415332
2022,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,21.579003
2022,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,%,25.544484
2022,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,17.245711
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,12.387005
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,13.901673
2021,mit und ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,10.806095
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,9.378841
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,männlich,%,10.416953
2021,ohne Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,8.345433
2021,mit Migrationshintergrund,18 - 25,Insgesamt,Insgesamt,%,20.00751
2021,mit Migrationshintergrund,18 - 25,Insgesamt,männlich,%,22.046711
2021,mit Migrationshintergrund,18 - 25,Insgesamt,weiblich,%,17.607107
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,15.45706
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,15.825257
2025,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,15.084645
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,8.492813
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,8.065957
2025,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,8.921559
2025,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,33.802113
2025,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,%,36.009488
2025,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,31.528066
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,18.107672
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,18.028198
2024,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,18.187903
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,11.458961
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,10.813714
2024,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,12.110268
2024,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,35.976248
2024,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,%,37.413072
2024,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,34.525293
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,18.472617
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,18.219484
2023,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,18.727447
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,12.324884
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,11.585492
2023,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,13.063487
2023,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,36.708976
2023,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,%,37.600343
2023,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,35.790775
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,18.890766
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,18.786894
2022,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,18.995372
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,13.207925
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,12.512139
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,13.900634
2022,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,36.354275
2022,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,%,37.628312
2022,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,35.025205
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,18.778764
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,18.528456
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,19.033109
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,13.147361
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,%,12.300781
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,13.994385
2021,mit Migrationshintergrund,25 - 65,Insgesamt,Insgesamt,%,37.085958
2021,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,%,38.129564
2021,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,%,35.970782
